CNTR_ID,TOT_P_2018,TOT_P_2006,GRD_ID,TOT_P_2011,TOT_P_2021
SE,5780,6173,CRS3035RES50000mN4700000E4800000,5817,6236
IE,83852,76508,CRS3035RES50000mN3550000E3050000,82580,88945
IT,181176,190597,CRS3035RES50000mN1650000E4550000,178759,178660
ES,276406,234294,CRS3035RES50000mN1950000E3100000,275577,287241
ES,273243,276372,CRS3035RES50000mN2400000E3050000,278543,264758
ES,20531,24530,CRS3035RES50000mN2200000E3050000,22299,19691
IT,303109,287836,CRS3035RES50000mN2450000E4100000,300771,296562
IS,0,203,CRS3035RES50000mN4750000E3050000,0,0
ES,185907,192739,CRS3035RES50000mN1750000E3100000,195004,183151
IT,339643,322557,CRS3035RES50000mN2150000E4650000,327441,336174
UK,2250,2126,CRS3035RES50000mN3100000E3150000,2203,0
FR,264902,249694,CRS3035RES50000mN2850000E3650000,258911,262703
DE,635050,624575,CRS3035RES50000mN3150000E4200000,616162,638739
PL,267872,260660,CRS3035RES50000mN3350000E4900000,265066,256818
NO,9880,9789,CRS3035RES50000mN4350000E4200000,9872,10251
PL,171241,172465,CRS3035RES50000mN3150000E4900000,171909,162347
PL,163356,164646,CRS3035RES50000mN3350000E4650000,165838,151959
NO,10734,10067,CRS3035RES50000mN4150000E4200000,10388,10809
IE-UK,217486,217491,CRS3035RES50000mN3650000E3200000,212344,52925
FR-IT-MC,234244,242741,CRS3035RES50000mN2250000E4100000,273084,242683
FR-IT,3302,3196,CRS3035RES50000mN2000000E4200000,3027,3411
AT-CZ-DE,149804,157432,CRS3035RES50000mN2850000E4550000,149466,149344
SE,1238209,1008729,CRS3035RES50000mN4050000E4750000,1114051,1354999
DK,64,0,CRS3035RES50000mN3550000E4650000,0,186
BA-HR,65593,0,CRS3035RES50000mN2450000E4800000,81474,17850
NO,199346,167786,CRS3035RES50000mN4100000E4050000,182074,247002
AT,60276,61550,CRS3035RES50000mN2650000E4550000,60272,60472
AT-HU-SI,161677,178134,CRS3035RES50000mN2650000E4800000,166910,159236
BE-DE-LU,371804,290550,CRS3035RES50000mN2950000E4000000,322450,396989
UK,790,846,CRS3035RES50000mN3350000E3300000,804,0
FR,55438,52445,CRS3035RES50000mN2350000E3750000,54378,54963
SE,2290,2451,CRS3035RES50000mN4750000E4650000,2460,2194
NO,1192,1355,CRS3035RES50000mN5250000E4750000,1352,1380
FR,133477,123206,CRS3035RES50000mN2550000E3750000,129393,135243
BE-FR,793045,757224,CRS3035RES50000mN3050000E3850000,778395,794565
BG-TR,14582,16532,CRS3035RES50000mN2250000E5700000,14856,12417
BG-RO,42038,51296,CRS3035RES50000mN2450000E5700000,46855,37105
ES,554379,506474,CRS3035RES50000mN1850000E3650000,545761,578654
ES,1724,1435,CRS3035RES50000mN1050000E1600000,2042,1834
FR,74145,75037,CRS3035RES50000mN2750000E4000000,76932,70260
ES,43320,44939,CRS3035RES50000mN1750000E2850000,44195,43720
ES,9554,12681,CRS3035RES50000mN2250000E2950000,11236,9412
SE,2419,2727,CRS3035RES50000mN4550000E4650000,2524,2464
ES,1059,1664,CRS3035RES50000mN1550000E2850000,626,1663
UK,134570,121419,CRS3035RES50000mN3150000E3300000,124558,0
EL,9478,9609,CRS3035RES50000mN1750000E5600000,9208,8794
CY,315207,0,CRS3035RES50000mN1650000E6400000,306871,330877
SE,155216,136051,CRS3035RES50000mN3850000E4550000,143789,159911
EE-LV,1270,1150,CRS3035RES50000mN3950000E5350000,974,904
PL,477870,475974,CRS3035RES50000mN3000000E5100000,482144,442639
BG,95193,103960,CRS3035RES50000mN2200000E5550000,99491,84729
ES,119570,114864,CRS3035RES50000mN1600000E3100000,121182,121031
CZ-PL,1142609,1195101,CRS3035RES50000mN3000000E4900000,1150447,1087841
PL,168518,166942,CRS3035RES50000mN3200000E4650000,169986,163217
PL,276331,268145,CRS3035RES50000mN3050000E5000000,268019,274231
NO,2980,2965,CRS3035RES50000mN5350000E4900000,2892,3753
NO,38931,36394,CRS3035RES50000mN4400000E4200000,38020,50706
IT,346017,348305,CRS3035RES50000mN2050000E4750000,348339,328314
NO-SE,4533,4576,CRS3035RES50000mN4850000E4550000,4493,4896
SE,49617,48569,CRS3035RES50000mN4650000E4800000,48996,51037
BA-ME,80112,0,CRS3035RES50000mN2300000E5000000,85768,0
FR,285870,282922,CRS3035RES50000mN2950000E3800000,289283,280564
IT-SI,307350,305801,CRS3035RES50000mN2500000E4550000,310069,301989
MD-RO-UA,41048,47841,CRS3035RES50000mN2900000E5500000,43786,45049
IT,1431095,1411151,CRS3035RES50000mN1950000E4700000,1407864,1381745
DE-NL,395300,401416,CRS3035RES50000mN3300000E4100000,400000,402777
RO,251820,289267,CRS3035RES50000mN2550000E5600000,265499,237707
