CNTR_ID,TOT_P_2018,TOT_P_2006,GRD_ID,TOT_P_2011,TOT_P_2021
NO,11193,10122,CRS3035RES50000mN5300000E4800000,10611,12357
BG-MK,76269,3158,CRS3035RES50000mN2150000E5350000,76882,2630
IT,544253,549798,CRS3035RES50000mN2300000E4300000,546827,528732
FR,1043,971,CRS3035RES50000mN2500000E3400000,1008,1049
IT,2,0,CRS3035RES50000mN2100000E4300000,2,0
NO,1995,1919,CRS3035RES50000mN5100000E4800000,1894,2025
EL,0,0,CRS3035RES50000mN1600000E5800000,0,2
ES-FR,13740,14001,CRS3035RES50000mN2200000E3500000,14242,13917
PL,144218,141384,CRS3035RES50000mN3400000E4850000,144695,134004
PL,316826,320352,CRS3035RES50000mN3200000E4850000,321747,305505
DE,665823,663998,CRS3035RES50000mN2800000E4200000,636535,673786
ES,131839,129410,CRS3035RES50000mN2000000E3500000,138491,133579
LV,79907,87154,CRS3035RES50000mN3800000E5100000,86105,79217
FR,87478,86714,CRS3035RES50000mN2700000E3700000,88048,85051
LT,31300,37778,CRS3035RES50000mN3600000E5100000,36303,30796
NO-SE,35924,31033,CRS3035RES50000mN4000000E4400000,34532,36335
FR,65746,61853,CRS3035RES50000mN2400000E3950000,64639,67286
NO-SE,13277,11787,CRS3035RES50000mN4200000E4400000,12526,13429
IT,555432,501532,CRS3035RES50000mN2050000E4550000,539428,539359
PT,28555,28339,CRS3035RES50000mN1800000E2650000,28660,31691
PL,253879,245884,CRS3035RES50000mN3150000E4850000,249222,246221
EL,125353,132709,CRS3035RES50000mN1800000E5400000,129578,115836
PT,247574,264686,CRS3035RES50000mN2050000E2700000,258089,249618
EL,5428,4903,CRS3035RES50000mN1900000E5450000,5637,4121
IE,55025,51201,CRS3035RES50000mN3550000E3100000,55825,59426
DK,22907,22826,CRS3035RES50000mN3700000E4350000,22795,23097
DK,500455,441336,CRS3035RES50000mN3650000E4300000,465941,526565
HU,929400,873534,CRS3035RES50000mN2700000E5000000,917952,946856
AT-CZ,159598,156059,CRS3035RES50000mN2850000E4750000,156005,159147
BG,595,1134,CRS3035RES50000mN2400000E5800000,745,510
FI,6845,8335,CRS3035RES50000mN4650000E5250000,7634,6671
SE,163295,147566,CRS3035RES50000mN3900000E4600000,154364,167508
UK,555986,515050,CRS3035RES50000mN3600000E3250000,522615,0
SE,60387,55353,CRS3035RES50000mN4450000E4550000,56499,61739
ES,5309,6465,CRS3035RES50000mN1950000E3300000,6174,5204
IT,540776,547267,CRS3035RES50000mN1900000E5000000,549400,521770
DE,739317,726358,CRS3035RES50000mN3250000E4300000,709602,740636
UK,8200,8404,CRS3035RES50000mN3500000E3650000,7919,0
BG-EL,56955,55154,CRS3035RES50000mN2150000E5600000,57734,50985
SE,20293,21093,CRS3035RES50000mN4050000E4550000,19909,19671
ES-FR,24812,24861,CRS3035RES50000mN2250000E3400000,25376,24423
IE,53974,49868,CRS3035RES50000mN3600000E3100000,53230,57564
UK,246232,227509,CRS3035RES50000mN3100000E3650000,235974,0
AT-DE,102707,96800,CRS3035RES50000mN2650000E4350000,98189,104430
NO,2922,3092,CRS3035RES50000mN4800000E4450000,2992,3825
LV,41453,52729,CRS3035RES50000mN3850000E5000000,46659,40186
IT,502840,506996,CRS3035RES50000mN1950000E4900000,506020,485355
FI,747,1025,CRS3035RES50000mN4700000E5250000,893,704
EL,12994,17843,CRS3035RES50000mN1500000E5650000,15689,15048
UK,618030,591780,CRS3035RES50000mN3250000E3350000,607960,0
SE,3360,3567,CRS3035RES50000mN4850000E4750000,3338,3263
NO,4887,4788,CRS3035RES50000mN5100000E4550000,4953,12582
FR,126364,119186,CRS3035RES50000mN2750000E3550000,125184,123886
PT,333771,353740,CRS3035RES50000mN2100000E2750000,345057,336097
RO,308032,368311,CRS3035RES50000mN2750000E5550000,310694,302527
RO,131375,159101,CRS3035RES50000mN2450000E5500000,151464,126723
LT-PL,12469,16415,CRS3035RES50000mN3550000E5100000,14387,11507
SE,1705,1676,CRS3035RES50000mN4350000E4450000,1676,1784
SE,8167,8442,CRS3035RES50000mN4500000E4550000,8356,8086
NO,17806,17513,CRS3035RES50000mN4750000E4450000,17384,20118
DE-NL,1410049,1312014,CRS3035RES50000mN3200000E4000000,1348737,1444679
ES,90218,92713,CRS3035RES50000mN1850000E3150000,95192,89473
PT,151688,144826,CRS3035RES50000mN1750000E2650000,155455,164279
IE-UK,281225,245149,CRS3035RES50000mN3550000E3250000,264517,52860
AT-CZ-DE,202940,193791,CRS3035RES50000mN2850000E4600000,198468,202966
BG-RO,153139,192049,CRS3035RES50000mN2400000E5350000,170389,145909
PT,3386,3981,CRS3035RES50000mN2500000E1150000,3833,3558
PL,1740,1559,CRS3035RES50000mN3450000E4600000,1712,1637
DE,305543,304584,CRS3035RES50000mN3400000E4450000,299112,324754
FI,2917,3739,CRS3035RES50000mN4950000E5100000,3337,2844
DE,497470,504017,CRS3035RES50000mN2950000E4250000,493055,499293
UK,1062372,984608,CRS3035RES50000mN3350000E3500000,1023265,0
BY-PL,126638,129921,CRS3035RES50000mN3250000E5200000,129742,117935
EL,67,23,CRS3035RES50000mN1500000E5500000,68,39
HR-HU,154291,48349,CRS3035RES50000mN2550000E4850000,166253,145528
IE,29837,28841,CRS3035RES50000mN3450000E3000000,29693,31541
RO,186253,206965,CRS3035RES50000mN2750000E5400000,185572,192562
PL,229707,225905,CRS3035RES50000mN3150000E4700000,231790,215379
FI-SE,14285,15451,CRS3035RES50000mN4800000E4900000,14726,14284
BG-RO,108734,130477,CRS3035RES50000mN2450000E5650000,118706,99852
UK,32877,31431,CRS3035RES50000mN3150000E3250000,31497,0
NL,68064,63865,CRS3035RES50000mN3250000E3900000,65334,69393
FI,96,150,CRS3035RES50000mN4950000E5150000,118,89
DE,218222,228792,CRS3035RES50000mN3350000E4400000,214720,217449
IS,3395,2697,CRS3035RES50000mN4850000E2750000,2870,0
DE,961031,924824,CRS3035RES50000mN3100000E4550000,921126,963585
FI,9424,9849,CRS3035RES50000mN4650000E5200000,9781,9374
ES,44631,43272,CRS3035RES50000mN1950000E3350000,44657,44870
ES-GI,316038,294981,CRS3035RES50000mN1550000E2900000,315461,320619
NO,22302,21773,CRS3035RES50000mN5050000E4500000,21703,26724
PL,333232,336724,CRS3035RES50000mN3200000E5050000,336124,310805
RO,78843,86120,CRS3035RES50000mN2700000E5250000,85090,81477
ES,243438,215089,CRS3035RES50000mN1850000E3700000,236488,260828
SE,425,584,CRS3035RES50000mN4550000E4700000,473,404
IT,106066,93665,CRS3035RES50000mN1950000E4200000,106479,100659
ES,101912,107206,CRS3035RES50000mN1750000E3050000,106278,99460
FI,39658,42924,CRS3035RES50000mN4250000E4950000,41369,38722
IT,5732,9425,CRS3035RES50000mN1850000E5000000,5889,5921
DK,48656,53409,CRS3035RES50000mN3500000E4350000,51446,54398
NO,12385,11289,CRS3035RES50000mN4250000E4100000,11658,12549
UK,625,748,CRS3035RES50000mN3800000E3250000,625,0
FI,7647,9745,CRS3035RES50000mN4450000E5250000,8757,7309
HR-RS,206163,0,CRS3035RES50000mN2500000E5000000,225891,128511
SI,312533,303359,CRS3035RES50000mN2550000E4700000,313598,316030
PL,267592,269374,CRS3035RES50000mN3300000E4950000,272102,253950
EL,13317,12561,CRS3035RES50000mN1950000E5600000,12853,12402
FR,130752,126719,CRS3035RES50000mN2800000E3600000,132001,127963
DE-NL,659385,635135,CRS3035RES50000mN3250000E4050000,649657,673575
EE,881,790,CRS3035RES50000mN4050000E5000000,721,695
FI-SE,2835,2939,CRS3035RES50000mN4950000E4850000,2807,2777
FR,152574,137728,CRS3035RES50000mN2400000E3500000,147929,153642
IS,1297,549,CRS3035RES50000mN4950000E3100000,431,0
BY-PL,202,212,CRS3035RES50000mN3300000E5250000,207,141
IT,199931,205698,CRS3035RES50000mN1550000E4650000,205767,188633
IS,230143,198181,CRS3035RES50000mN4900000E2800000,209484,0
BG,64702,81643,CRS3035RES50000mN2350000E5600000,71758,55389
FI,42691,47014,CRS3035RES50000mN4350000E5300000,45123,41344
BA,117098,0,CRS3035RES50000mN2400000E4900000,137170,0
EL,0,0,CRS3035RES50000mN1600000E5850000,45,9
NO,52449,47817,CRS3035RES50000mN4100000E4300000,49710,52842
PL,85113,85049,CRS3035RES50000mN3450000E4750000,86263,75471
ES,16431,19024,CRS3035RES50000mN2050000E3400000,18323,16282
IT,161721,163381,CRS3035RES50000mN1900000E4750000,164788,155016
NO,6174,6287,CRS3035RES50000mN5150000E4700000,6293,6138
FR,280620,270009,CRS3035RES50000mN2800000E3750000,277238,280047
ES-PT,28096,34776,CRS3035RES50000mN2150000E2900000,31815,26615
BG,40211,35503,CRS3035RES50000mN2350000E5750000,31979,29103
NO,5624,5852,CRS3035RES50000mN4250000E4250000,5828,5355
RO-RS,463367,425159,CRS3035RES50000mN2550000E5150000,455350,424046
FR,212577,201982,CRS3035RES50000mN2950000E3550000,205986,219223
CH-DE-FR,1084603,1030603,CRS3035RES50000mN2700000E4100000,1046257,1108405
SE,28040,27301,CRS3035RES50000mN3750000E4500000,26573,27461
BA,139510,0,CRS3035RES50000mN2250000E4950000,150529,0
BG-EL,81634,84974,CRS3035RES50000mN2100000E5450000,88062,79733
DE-FR,199358,198891,CRS3035RES50000mN2850000E4050000,201897,194859
IT,886,343,CRS3035RES50000mN1700000E4600000,871,787
LT,243148,271493,CRS3035RES50000mN3650000E5000000,253526,248592
ES,36833,38222,CRS3035RES50000mN2300000E3000000,39528,38120
FI,2332,1772,CRS3035RES50000mN5000000E4900000,2404,2441
NO,21074,18439,CRS3035RES50000mN3900000E4050000,19762,27072
ES,204710,196153,CRS3035RES50000mN2100000E3600000,205503,208351
LT,53023,73624,CRS3035RES50000mN3600000E5150000,58737,52774
IT,4505,10161,CRS3035RES50000mN2100000E4750000,4510,4223
LT,127380,166696,CRS3035RES50000mN3700000E5200000,142860,127538
NO,7775,8130,CRS3035RES50000mN4450000E4250000,7880,9318
FR,161261,158953,CRS3035RES50000mN2450000E3650000,163135,161186
FR,368071,340053,CRS3035RES50000mN2500000E3850000,355482,374286
IT,379798,375363,CRS3035RES50000mN2400000E4200000,377594,364997
EL,5052,5822,CRS3035RES50000mN1650000E5700000,5161,4654
BY-LT-PL,31893,42235,CRS3035RES50000mN3500000E5200000,36060,31310
FR,112721,112808,CRS3035RES50000mN2650000E3650000,115328,109979
SE,26206,25558,CRS3035RES50000mN3750000E4650000,25055,25821
RS,151792,0,CRS3035RES50000mN2250000E5250000,166109,0
CH-IT,103269,99199,CRS3035RES50000mN2550000E4150000,101446,102537
IT,21881,24123,CRS3035RES50000mN1700000E4750000,21271,21581
IT,371636,367825,CRS3035RES50000mN2250000E4550000,377336,361855
EE-LV,29721,39943,CRS3035RES50000mN3900000E5300000,34736,28519
AL,314989,0,CRS3035RES50000mN2000000E5100000,315673,0
FR,45162,44458,CRS3035RES50000mN2500000E3700000,46430,43746
ES,50085,53887,CRS3035RES50000mN2300000E3150000,53200,52396
DK,2,0,CRS3035RES50000mN3800000E4250000,2,2
FR,43018,42384,CRS3035RES50000mN2300000E3700000,43690,42591
EL,217,211,CRS3035RES50000mN1800000E5800000,93,77
IT,224399,230948,CRS3035RES50000mN2100000E4600000,224955,216779
FR,536802,480296,CRS3035RES50000mN2700000E3400000,498178,572433
UK,137087,114730,CRS3035RES50000mN3900000E3450000,133171,0
EE,31223,31482,CRS3035RES50000mN4050000E5150000,30814,29963
IT,17586,15254,CRS3035RES50000mN2400000E4500000,16766,15147
AL-ME-RS,51440,0,CRS3035RES50000mN2200000E5100000,52581,0
FR,14338,14675,CRS3035RES50000mN2850000E3200000,15161,16892
BY-LV,29241,43614,CRS3035RES50000mN3750000E5350000,35132,27623
BA-RS,72723,0,CRS3035RES50000mN2350000E5050000,86492,0
ES-FR,52787,49640,CRS3035RES50000mN2150000E3750000,54984,53024
EL,6135,6035,CRS3035RES50000mN1900000E5750000,4268,4282
AL-ME,278613,0,CRS3035RES50000mN2150000E5050000,265840,0
CH-FR,1008465,843573,CRS3035RES50000mN2550000E4000000,911469,1051002
FI,26,37,CRS3035RES50000mN4600000E5350000,36,24
IT,304707,309314,CRS3035RES50000mN1750000E4200000,299173,293407
NO,8322,8024,CRS3035RES50000mN5000000E4600000,8173,9102
NO,2091,2332,CRS3035RES50000mN5350000E5100000,2106,2196
FR,320260,309957,CRS3035RES50000mN3000000E3750000,318183,321783
IS,572,159,CRS3035RES50000mN5050000E2900000,307,0
IE,183724,153378,CRS3035RES50000mN3500000E3200000,175120,202878
FR,501170,481575,CRS3035RES50000mN2200000E3950000,489502,551357
PL,445311,465741,CRS3035RES50000mN3100000E4950000,460132,418652
FI,19878,21829,CRS3035RES50000mN4350000E5050000,21133,19276
DE-FR,787484,827127,CRS3035RES50000mN2900000E4100000,795003,780855
ES,384981,384632,CRS3035RES50000mN2150000E3050000,393623,383135
IE-UK,66130,59705,CRS3035RES50000mN3650000E3150000,66143,68863
SE,100747,95469,CRS3035RES50000mN4750000E4850000,97233,103131
RO,200218,247479,CRS3035RES50000mN2650000E5650000,209372,207098
HU,154738,171308,CRS3035RES50000mN2600000E4900000,164017,148552
IT,136943,137232,CRS3035RES50000mN2550000E4450000,138621,133915
FI,8985,10744,CRS3035RES50000mN4550000E5300000,9915,8749
FI,409,512,CRS3035RES50000mN5000000E5050000,438,404
RO,105141,118279,CRS3035RES50000mN2500000E5700000,107785,98558
IM,0,0,CRS3035RES50000mN3500000E3350000,57681,0
NO,1900,2053,CRS3035RES50000mN4300000E4300000,2002,1839
ES,1138858,979782,CRS3035RES50000mN2000000E3100000,1090737,1173503
FI,1144392,967363,CRS3035RES50000mN4200000E5100000,1038642,1176284
PL,100275,102354,CRS3035RES50000mN3400000E4700000,103875,89383
DE,6986,9219,CRS3035RES50000mN3400000E4150000,7182,6855
DK,197300,189872,CRS3035RES50000mN3600000E4400000,195254,201351
DE,90889,105415,CRS3035RES50000mN3200000E4450000,94607,88666
UK,1780,1802,CRS3035RES50000mN3050000E3200000,1610,0
BG,72403,88283,CRS3035RES50000mN2300000E5450000,82180,68314
PL-UA,115916,119980,CRS3035RES50000mN3100000E5250000,120527,103733
HR,20984,0,CRS3035RES50000mN2400000E4650000,20469,19645
PL,956848,908391,CRS3035RES50000mN3100000E4800000,925420,1018889
DK,33644,34395,CRS3035RES50000mN3750000E4200000,34389,33498
ES-PT,61730,66111,CRS3035RES50000mN2000000E2800000,66987,61554
FI,1303,1602,CRS3035RES50000mN4150000E4900000,1446,1331
NL,1756,1801,CRS3035RES50000mN3350000E3950000,1829,1855
ES,7787,9949,CRS3035RES50000mN2000000E3250000,9424,7499
ES,129493,129629,CRS3035RES50000mN1650000E3000000,135973,130977
IT,65564,62405,CRS3035RES50000mN1800000E4250000,65763,63549
HU,355816,363403,CRS3035RES50000mN2750000E5150000,368449,353065
UK,2737,2501,CRS3035RES50000mN3850000E3400000,2659,0
PL,907348,863720,CRS3035RES50000mN3250000E4750000,884062,944784
AT,110484,110670,CRS3035RES50000mN2750000E4700000,109728,110811
FR,129136,128022,CRS3035RES50000mN2850000E3900000,129280,125171
SE,74207,66257,CRS3035RES50000mN3550000E4500000,69736,77472
BA-HR,197553,0,CRS3035RES50000mN2450000E4950000,226488,72706
RO,131271,141447,CRS3035RES50000mN2650000E5500000,134032,127820
FI,17546,19981,CRS3035RES50000mN4500000E5000000,18937,16983
PT,10104,10516,CRS3035RES50000mN2350000E1300000,10133,9144
SE,1651,1869,CRS3035RES50000mN4900000E4800000,1699,1515
ES,61554,68275,CRS3035RES50000mN1650000E3150000,65195,60935
ES,337596,323620,CRS3035RES50000mN1900000E3450000,344986,345257
IS,8,0,CRS3035RES50000mN4750000E2850000,0,0
SE,1098,1164,CRS3035RES50000mN4700000E4550000,1106,1091
FI,3306,3936,CRS3035RES50000mN4800000E5050000,3608,3144
NO-SE,427,482,CRS3035RES50000mN4550000E4450000,394,390
UK,1393306,1345971,CRS3035RES50000mN3450000E3450000,1368670,0
ES,185914,173520,CRS3035RES50000mN1800000E3250000,185690,185612
DE-PL,170768,180114,CRS3035RES50000mN3250000E4600000,173654,168475
RO,172686,184793,CRS3035RES50000mN2600000E5350000,173339,169413
UK,54625,53171,CRS3035RES50000mN3550000E3500000,54030,0
PL,137399,139419,CRS3035RES50000mN3350000E5100000,140856,127325
AT-HU-SK,349342,314174,CRS3035RES50000mN2750000E4850000,334659,366016
MT,442982,373832,CRS3035RES50000mN1400000E4700000,386073,480275
PL-UA,267597,267834,CRS3035RES50000mN3050000E5200000,270423,244328
SE,3870,4439,CRS3035RES50000mN4400000E4650000,4140,4010
UK,77035,73979,CRS3035RES50000mN3200000E3300000,75465,0
DE,2555637,2653655,CRS3035RES50000mN3100000E4100000,2498819,2534795
FI,1161,1814,CRS3035RES50000mN4750000E5150000,1380,1117
DE,296039,347798,CRS3035RES50000mN3150000E4400000,316909,285030
UK,953969,860011,CRS3035RES50000mN3250000E3600000,895260,0
IS,3156,4176,CRS3035RES50000mN5000000E3050000,3533,0
UK,1298379,1189667,CRS3035RES50000mN3150000E3550000,1240165,0
ES-PT,110377,100889,CRS3035RES50000mN1700000E2750000,111783,114161
FI,541,790,CRS3035RES50000mN4850000E5200000,632,523
DE,604306,608416,CRS3035RES50000mN3100000E4250000,591752,604581
CZ,551207,524669,CRS3035RES50000mN2900000E4800000,543065,564024
ES,667563,635172,CRS3035RES50000mN1750000E3350000,668511,676671
PL,476122,452546,CRS3035RES50000mN3000000E5050000,463225,455789
ES,128367,131420,CRS3035RES50000mN1950000E3050000,137575,127700
NO,1263,1286,CRS3035RES50000mN4950000E4400000,1274,2298
FI,87770,77473,CRS3035RES50000mN4450000E4950000,83082,88485
BE,2306008,2068858,CRS3035RES50000mN3050000E3900000,2209028,2339669
UK,1126272,1012552,CRS3035RES50000mN3200000E3450000,1051255,0
SE,221,259,CRS3035RES50000mN4750000E4700000,216,212
ES,1835045,1756502,CRS3035RES50000mN1850000E3400000,1827457,1868858
MD-RO,527099,507620,CRS3035RES50000mN2800000E5600000,499766,518019
ES,99213,90336,CRS3035RES50000mN1750000E2900000,100763,100529
UK,444045,402860,CRS3035RES50000mN3350000E3450000,419897,0
UK,337712,307972,CRS3035RES50000mN3150000E3700000,320394,0
PT,90023,80380,CRS3035RES50000mN1900000E2600000,88533,90221
AT-IT,207813,186043,CRS3035RES50000mN2600000E4400000,196705,210516
PL,104647,110665,CRS3035RES50000mN3350000E5150000,109877,92816
EL,0,0,CRS3035RES50000mN1600000E5750000,0,1
LV,68321,86377,CRS3035RES50000mN3750000E4950000,76218,67172
BG-RO-RS,99357,58594,CRS3035RES50000mN2400000E5300000,102970,47343
ES,20029,22540,CRS3035RES50000mN1900000E3250000,22871,19939
IT,289614,298286,CRS3035RES50000mN1800000E4850000,291206,278429
DK,190695,182867,CRS3035RES50000mN3550000E4250000,186807,192203
UK,18152,15058,CRS3035RES50000mN4050000E3550000,17201,0
HU-RO,192883,206273,CRS3035RES50000mN2800000E5200000,195666,187006
DE,287107,319688,CRS3035RES50000mN3150000E4350000,297155,278214
NO-SE,741,807,CRS3035RES50000mN4550000E4500000,769,732
NO,11839,11224,CRS3035RES50000mN5000000E4450000,11142,18063
FI,9007,10429,CRS3035RES50000mN4500000E5150000,9907,8818
HR,193528,0,CRS3035RES50000mN2500000E4950000,208700,179218
IT,428987,407942,CRS3035RES50000mN2200000E4500000,424181,420660
IS,1645,1578,CRS3035RES50000mN5000000E2750000,1721,0
FR,207006,195452,CRS3035RES50000mN2800000E3500000,203983,208895
HU-RS,221307,132322,CRS3035RES50000mN2600000E5050000,242532,112712
EE,24359,26942,CRS3035RES50000mN4050000E5250000,23875,21332
FI,1521,1829,CRS3035RES50000mN4950000E5050000,1611,1431
EL,4658,4745,CRS3035RES50000mN1750000E5200000,4611,4546
UK,206335,205418,CRS3035RES50000mN3500000E3600000,203172,0
SE,48461,45688,CRS3035RES50000mN4100000E4600000,46321,48162
ES,201673,182827,CRS3035RES50000mN2050000E3700000,200105,208443
UK,5222,5064,CRS3035RES50000mN3850000E3350000,5145,0
DE,107910,116865,CRS3035RES50000mN3300000E4500000,107051,108737
ME-RS,160380,0,CRS3035RES50000mN2250000E5150000,157322,0
DK,131,164,CRS3035RES50000mN3700000E4400000,152,136
EE,20969,25298,CRS3035RES50000mN4100000E5250000,20985,18399
BY-LT,33113,41934,CRS3035RES50000mN3650000E5300000,38791,32440
HU,160306,176240,CRS3035RES50000mN2650000E4950000,167826,158215
LV,52373,64129,CRS3035RES50000mN3900000E5200000,58184,52299
PT,219128,245911,CRS3035RES50000mN2100000E2800000,235032,222353
CZ-SK,423402,426647,CRS3035RES50000mN2900000E4850000,420698,411010
DE,129700,134925,CRS3035RES50000mN3450000E4500000,128597,132946
SE,125505,116463,CRS3035RES50000mN4150000E4600000,119735,126679
SE,40112,39576,CRS3035RES50000mN4050000E4600000,38941,39799
FR,1142136,999915,CRS3035RES50000mN2300000E3600000,1045293,1226485
AL-MK,150721,0,CRS3035RES50000mN2100000E5150000,151109,0
FR,99483,97239,CRS3035RES50000mN2400000E3600000,101085,99812
NO,135,151,CRS3035RES50000mN5200000E4600000,139,111
UK,419746,383034,CRS3035RES50000mN3250000E3700000,404703,0
DE,972558,929065,CRS3035RES50000mN2950000E4150000,936395,982914
FI,9587,11600,CRS3035RES50000mN4600000E5300000,10826,9187
PL,420900,428109,CRS3035RES50000mN3200000E5150000,428763,394761
HU-RO,149324,153377,CRS3035RES50000mN2750000E5200000,152831,144624
IT,119104,118335,CRS3035RES50000mN1900000E4850000,119601,113237
FR,289426,281038,CRS3035RES50000mN2550000E3600000,290827,287151
NO,19745,17239,CRS3035RES50000mN3900000E4150000,18616,19701
HU,197065,211315,CRS3035RES50000mN2750000E5050000,204308,194122
BG-RS,83901,11,CRS3035RES50000mN2300000E5300000,92399,0
FI,18920,21068,CRS3035RES50000mN4600000E5150000,20052,18461
NO,1684,1711,CRS3035RES50000mN4800000E4400000,1707,4785
BG-RO-RS,80683,25088,CRS3035RES50000mN2350000E5300000,97487,15842
PL,83777,86025,CRS3035RES50000mN3450000E5150000,86949,74069
FR,267477,261631,CRS3035RES50000mN2300000E3450000,266646,265641
HR-RS,518393,0,CRS3035RES50000mN2500000E5050000,534533,3855
RO,48484,60947,CRS3035RES50000mN2550000E5300000,56125,48652
LV,1016,2579,CRS3035RES50000mN3900000E5050000,1243,971
FI,16066,17922,CRS3035RES50000mN4450000E5150000,17073,15267
LT,77600,103941,CRS3035RES50000mN3700000E5050000,88355,77069
IT,3464865,3274043,CRS3035RES50000mN2450000E4250000,3257500,3426016
ES,16103,17342,CRS3035RES50000mN2100000E3450000,17417,15678
FR,104137,95902,CRS3035RES50000mN2350000E3450000,102140,104075
FI,1096,1364,CRS3035RES50000mN4950000E4950000,1227,1031
DK,30579,29988,CRS3035RES50000mN3650000E4400000,30571,30884
NO,132337,119206,CRS3035RES50000mN4150000E4350000,124488,133842
EL,6521,7962,CRS3035RES50000mN1800000E5200000,6621,6125
DE,552180,562237,CRS3035RES50000mN2950000E4300000,541952,556432
NO,3688,3724,CRS3035RES50000mN4300000E4350000,3793,3639
ES,85758,74646,CRS3035RES50000mN1650000E3350000,82443,93999
UK,329880,334726,CRS3035RES50000mN3500000E3450000,325830,0
PT,228,144,CRS3035RES50000mN2050000E2650000,203,412
DK,204433,190608,CRS3035RES50000mN3650000E4250000,197889,209185
UK,5611,5692,CRS3035RES50000mN4000000E3550000,5759,0
EL,3034,3039,CRS3035RES50000mN1700000E5750000,2979,3202
CH-DE,669061,596059,CRS3035RES50000mN2700000E4150000,624306,679074
DE,276863,283949,CRS3035RES50000mN3400000E4250000,275717,276748
FR,290429,260431,CRS3035RES50000mN2800000E3350000,275981,307066
EE,18745,19044,CRS3035RES50000mN3950000E5050000,17834,17693
FI,92220,83132,CRS3035RES50000mN4500000E5300000,87337,92994
DE,166738,174752,CRS3035RES50000mN3300000E4350000,167867,165881
UK,21868,18094,CRS3035RES50000mN3850000E3500000,21933,0
UK,524576,477784,CRS3035RES50000mN3300000E3700000,492361,0
FI,114669,96833,CRS3035RES50000mN4700000E5050000,105949,116890
CH-IT,118491,107423,CRS3035RES50000mN2600000E4250000,111565,119419
DE,5181,6319,CRS3035RES50000mN3500000E4500000,5531,5192
HU-SK,169427,170933,CRS3035RES50000mN2850000E5050000,172383,162351
FR,1558,1566,CRS3035RES50000mN2200000E4250000,1558,1452
PT,112735,127731,CRS3035RES50000mN2050000E2800000,121633,109077
FR,45868,37786,CRS3035RES50000mN2400000E3450000,40981,47811
EL,48109,50863,CRS3035RES50000mN1450000E5750000,47030,46375
RO,46723,56569,CRS3035RES50000mN2650000E5300000,52653,45937
CZ-SK,267685,271155,CRS3035RES50000mN2850000E4850000,268530,262494
PT,98672,96500,CRS3035RES50000mN1750000E2700000,100845,102752
AL-EL,25982,1797,CRS3035RES50000mN1950000E5200000,25803,1328
SE,5608,5786,CRS3035RES50000mN4200000E4600000,5567,5742
IT-VA,3346289,2902305,CRS3035RES50000mN2050000E4500000,3050958,3197021
DE,652430,640184,CRS3035RES50000mN2800000E4300000,622012,662459
IT,215660,225610,CRS3035RES50000mN2450000E4500000,209699,199156
IT,53287,65808,CRS3035RES50000mN2350000E4500000,51361,51750
BA,349361,0,CRS3035RES50000mN2400000E4950000,381214,0
BG-RS,83627,1303,CRS3035RES50000mN2250000E5300000,94325,648
ES-FR,237453,210153,CRS3035RES50000mN2150000E3700000,225464,248126
RO,42917,51211,CRS3035RES50000mN2550000E5750000,46936,43611
DE,156646,164045,CRS3035RES50000mN3200000E4500000,152279,160234
LT-LV,102084,136981,CRS3035RES50000mN3750000E5300000,117358,99220
IM,0,0,CRS3035RES50000mN3550000E3350000,26612,0
NO-SE,833,1022,CRS3035RES50000mN4600000E4500000,902,789
FR,254231,240095,CRS3035RES50000mN2850000E3250000,249736,270700
UK,67496,59930,CRS3035RES50000mN3900000E3500000,65084,0
NO,4466,4676,CRS3035RES50000mN5150000E4600000,4505,6042
ES,455498,458105,CRS3035RES50000mN1800000E3400000,472948,462843
UK,35022,33117,CRS3035RES50000mN3650000E3450000,34532,0
CZ-DE,760141,830814,CRS3035RES50000mN3050000E4500000,783191,741431
NO,1942,2031,CRS3035RES50000mN4850000E4500000,2051,2154
UK,367406,347780,CRS3035RES50000mN3750000E3500000,364605,0
PL,138895,140072,CRS3035RES50000mN3450000E5050000,142707,125707
ES,30128,27709,CRS3035RES50000mN1600000E3250000,30801,33353
CZ-DE,377196,382810,CRS3035RES50000mN3050000E4600000,372541,364806
FR,94605,86680,CRS3035RES50000mN2500000E3500000,92275,94924
UK,866,1041,CRS3035RES50000mN3950000E3250000,853,0
IT,18119,17925,CRS3035RES50000mN2300000E4250000,18907,17237
AT-CH-DE,921245,848369,CRS3035RES50000mN2700000E4250000,865718,933341
ES,48488,50276,CRS3035RES50000mN1850000E3250000,51962,49423
FR,175838,171134,CRS3035RES50000mN2900000E3500000,176280,173339
IT,593247,572985,CRS3035RES50000mN2100000E4500000,552689,585931
LV,30655,40191,CRS3035RES50000mN3800000E5300000,35363,29264
FR,105267,93198,CRS3035RES50000mN2150000E4250000,98419,114006
FI,23793,25447,CRS3035RES50000mN4550000E5150000,25401,23384
NO-SE,229082,200017,CRS3035RES50000mN4000000E4350000,211732,261506
LT,48208,64342,CRS3035RES50000mN3600000E5050000,54604,46200
EE,290,329,CRS3035RES50000mN4150000E5150000,258,286
ES,485181,462379,CRS3035RES50000mN1700000E3350000,494405,502399
FR,307943,279575,CRS3035RES50000mN2200000E3700000,291916,318499
IT,31538,37316,CRS3035RES50000mN1850000E4150000,31135,30691
FI,153566,150118,CRS3035RES50000mN4300000E5150000,152798,152878
