x,y,pop
4700,2950,228780
4100,2300,190201
3650,2900,364242
4200,4200,4545
3100,1800,14206
5350,1750,266060
4650,3400,100251
2950,3450,309
3900,2700,236213
4550,2700,206578
4750,5300,1179
4900,2000,431337
5600,2750,283373
3050,2350,178416
5000,4450,21793
4650,4600,656
3300,2150,43418
5450,2500,324524
5000,3300,182466
3050,3400,202540
5100,4000,7682
4900,4350,9357
3200,4850,0
4200,3000,1623506
5350,1800,34185
4800,4850,405
5000,3250,376622
5450,2450,193796
3900,2650,157948
4650,2350,7277
4750,4100,102105
4750,3050,425509
4800,4700,6236
3050,3550,88945
4550,1650,178660
3100,1950,287241
3050,2400,264758
3050,2200,19691
4100,2450,296562
3050,4750,0
3100,1750,183151
4650,2150,336174
3150,3100,0
3650,2850,262703
4200,3150,638739
4900,3350,256818
4200,4350,10251
4900,3150,162347
4650,3350,151959
4200,4150,10809
3200,3650,52925
4100,2250,242683
4200,2000,3411
4550,2850,149344
4750,4050,1354999
4650,3550,186
4800,2450,17850
4050,4100,247002
4550,2650,60472
4800,2650,159236
4000,2950,396989
3300,3350,0
3750,2350,54963
4650,4750,2194
4750,5250,1380
3750,2550,135243
3850,3050,794565
5700,2250,12417
5700,2450,37105
3650,1850,578654
1600,1050,1834
4000,2750,70260
2850,1750,43720
2950,2250,9412
4650,4550,2464
2850,1550,1663
3300,3150,0
5600,1750,8794
6400,1650,330877
4550,3850,159911
5350,3950,904
5100,3000,442639
5550,2200,84729
3100,1600,121031
4900,3000,1087841
4650,3200,163217
5000,3050,274231
4900,5350,3753
4200,4400,50706
4750,2050,328314
4550,4850,4896
4800,4650,51037
5000,2300,0
3800,2950,280564
4550,2500,301989
5500,2900,45049
4700,1950,1381745
4100,3300,402777
5600,2550,237707
4200,4000,8043
2750,1850,32121
1600,1100,58268
4200,2150,23008
5500,1850,6337
4700,3950,77367
4800,2250,259367
3050,3600,31773
3750,2600,97123
3950,3000,225888
4700,1550,354055
5450,2250,70215
5000,3450,284254
4550,2900,120771
4850,5150,471
3850,2300,521778
5100,5000,653
3050,3350,378808
4850,5000,1788
5350,1950,115863
3400,3100,0
5450,2650,128404
5100,4150,40709
5000,4300,169694
5550,2350,146347
5000,4700,114669
2850,4950,0
4550,4900,10674
4700,4950,305
4700,2600,196087
3300,2000,4719
5350,2800,120003
4800,3300,151798
5450,1650,28174
5600,1600,5890
5000,2450,46928
2850,1600,364642
5100,3150,188047
5700,2300,256507
3300,3400,0
2950,2300,121361
4900,4400,27984
4700,1600,163248
3000,1900,13293
5350,3800,59246
3750,2200,19561
3150,2050,224614
4000,2600,148369
4550,3900,48303
4050,4050,68145
5500,1900,71
3200,2300,50885
5000,5300,3625
4800,2300,37996
4650,4200,7389
4800,2700,240767
4050,3050,964179
4100,4300,32025
3550,1800,117484
2750,1900,77124
5600,2600,181334
4550,3500,457
2900,1950,113919
4450,2800,429011
2950,3300,9287
4900,3400,213251
3200,3700,14929
2900,1800,28174
3150,3450,151042
5450,1700,100828
3300,4000,0
4550,3450,35852
4450,2750,542671
5500,2700,141858
2850,1950,17322
5450,2050,61763
3800,2750,160237
4300,3050,307150
4550,4650,541
4700,4800,18
4650,3000,413170
5100,4400,153718
2850,2350,97071
3200,2900,69363
4550,2300,163667
3400,2100,772016
5700,2700,8423
4450,3950,23710
3300,3600,0
5000,3700,36553
4650,2600,222723
4850,5200,144
4200,2350,737326
4800,2050,93692
3000,1850,19704
3500,4000,0
4850,5350,2760
3400,3300,0
4750,4500,10280
3200,1700,20806
5450,2850,86843
4300,4250,12831
5000,4900,40237
3900,2300,542701
3850,2450,378671
4900,5200,2867
4200,3550,89125
3950,3150,1247586
4650,3800,24604
5500,2850,367025
4100,2850,274297
4800,1650,403921
4750,4650,4735
4050,3300,495844
4750,2300,95454
4800,1850,103347
4650,3950,161970
3200,2250,14916
4200,3350,299716
4150,4000,1578
1700,1000,512346
4650,1600,177051
4900,2550,74068
2950,1650,103556
4100,2650,786152
5250,2850,20377
3200,3450,1164413
4650,3150,145070
5700,1450,126702
4750,3500,154507
4750,3300,185550
3800,2600,95037
5650,2100,70257
5250,1850,77999
4750,5050,16
5250,1650,10227
4100,3850,23907
4050,4300,20085
3300,3750,0
3750,2750,154634
5350,2550,98294
5350,2350,78161
4800,2850,264627
4650,4950,0
4550,2450,12179
3150,2100,16708
2950,2050,39625
4000,2350,84173
4650,4150,54397
4550,3650,146207
4900,2350,0
5000,5250,82
5550,2400,275146
4100,3050,2166101
4850,3000,233710
4650,4350,51796
5200,4100,47711
3900,2900,65970
4450,2950,246525
3850,2250,41875
4100,4050,6423
4800,3050,207284
2850,4800,0
3300,2750,12312
3200,3100,0
4800,3850,44265
3500,3000,13480
4700,2350,49988
3100,4750,0
5100,4600,9126
5000,4250,37004
4900,2200,40692
6300,1600,5
4600,1650,985488
3400,2300,127877
4650,4800,74
4850,2000,786287
4950,5050,29
4650,2800,155044
4000,3350,173819
2950,4850,0
5450,2700,93271
5000,3900,306
4350,2900,1005841
4150,3000,582812
4900,4550,17525
5250,3850,16350
5000,2250,0
3900,2450,319105
4650,2000,578553
4650,2950,220395
4700,3800,27919
4200,3200,1285905
4800,4500,15234
5000,3100,135045
4050,2300,50867
4450,4950,4989
4300,4050,338136
3200,1900,54284
4100,2500,116807
750,900,550
5550,2550,544729
4650,5000,165
2950,5050,0
5000,4100,7304
2650,1950,1465284
4700,2800,231058
5600,1400,143
5350,2200,76322
2850,2000,13550
5450,1850,32109
900,950,12672
4800,3500,165835
3850,3100,1112138
4550,4300,2636
3750,2400,36128
3500,3150,0
2850,1800,46828
4450,3600,1898904
3000,1700,227694
4900,4200,15100
4000,2800,333041
5000,5100,2175
4650,4000,149853
3200,4900,0
5500,1700,67738
4700,3350,60906
5650,2250,37323
4600,2650,35517
4550,3300,139935
5600,2400,89457
4800,2500,165439
3200,2100,12208
4900,3200,222043
4450,2600,91409
3150,2250,17375
3650,2700,113711
5350,4400,1270
5150,1800,2
5700,1900,64090
4600,3700,23590
4850,3350,665098
3100,3350,93067
1550,1100,25544
2800,1850,33693
4300,3450,526986
4000,3150,1350314
4650,1950,2832172
4800,4050,41201
3100,2200,114127
950,900,2220
4150,4350,20430
4850,4550,1720
4450,2350,477391
3650,3300,0
3400,2450,112597
5050,5200,75
5150,2950,83830
4150,3150,1011102
5800,1550,3
4900,2800,328402
4900,1750,62613
4150,3200,1002857
4550,4250,253
3250,2200,182012
4200,3950,3186
2900,4800,0
5700,1850,11702
4350,2850,236123
2950,1850,32651
5050,4150,39847
2750,2300,611437
3550,2550,188895
5400,1600,105879
4350,3900,17020
3400,3650,0
5250,2650,76555
5250,2450,25792
4950,5100,75
3550,3800,0
4950,5300,349
3300,2800,339847
4700,2000,342365
5200,2100,0
3550,3600,0
5400,3800,8148
4200,2600,50900
3800,2400,40990
5200,3300,37967
3650,2250,154084
3850,2700,54814
5550,1800,11449
5300,1900,110655
4700,3200,221081
4300,4500,18069
5100,2400,0
3300,3950,0
2900,2400,60699
4750,1500,102910
4800,5300,12357
5350,2150,2630
4300,2300,528732
3400,2500,1049
4300,2100,0
4800,5100,2025
5800,1600,2
3500,2200,13917
4850,3400,134004
4850,3200,305505
4200,2800,673786
3500,2000,133579
5100,3800,79217
3700,2700,85051
5100,3600,30796
4400,4000,36335
3950,2400,67286
4400,4200,13429
4550,2050,539359
2650,1800,31691
4850,3150,246221
5400,1800,115836
2700,2050,249618
5450,1900,4121
3100,3550,59426
4350,3700,23097
4300,3650,526565
5000,2700,946856
4750,2850,159147
5800,2400,510
5250,4650,6671
4600,3900,167508
3250,3600,0
4550,4450,61739
3300,1950,5204
5000,1900,521770
4300,3250,740636
3650,3500,0
5600,2150,50985
4550,4050,19671
3400,2250,24423
3100,3600,57564
3650,3100,0
4350,2650,104430
4450,4800,3825
5000,3850,40186
4900,1950,485355
5250,4700,704
5650,1500,15048
3350,3250,0
4750,4850,3263
4550,5100,12582
3550,2750,123886
2750,2100,336097
5550,2750,302527
5500,2450,126723
5100,3550,11507
4450,4350,1784
4550,4500,8086
4450,4750,20118
4000,3200,1444679
3150,1850,89473
2650,1750,164279
3250,3550,52860
4600,2850,202966
5350,2400,145909
1150,2500,3558
4600,3450,1637
4450,3400,324754
5100,4950,2844
4250,2950,499293
3500,3350,0
5200,3250,117935
5500,1500,39
4850,2550,145528
3000,3450,31541
5400,2750,192562
4700,3150,215379
4900,4800,14284
5650,2450,99852
3250,3150,0
3900,3250,69393
5150,4950,89
4400,3350,217449
2750,4850,0
4550,3100,963585
5200,4650,9374
3350,1950,44870
2900,1550,320619
4500,5050,26724
5050,3200,310805
5250,2700,81477
3700,1850,260828
4700,4550,404
4200,1950,100659
3050,1750,99460
4950,4250,38722
5000,1850,5921
4350,3500,54398
4100,4250,12549
3250,3800,0
5250,4450,7309
5000,2500,128511
4700,2550,316030
4950,3300,253950
5600,1950,12402
3600,2800,127963
4050,3250,673575
5000,4050,695
4850,4950,2777
3500,2400,153642
3100,4950,0
5250,3300,141
4650,1550,188633
2800,4900,0
5600,2350,55389
5300,4350,41344
4900,2400,0
5850,1600,9
4300,4100,52842
4750,3450,75471
3400,2050,16282
