x,y,pop
4340,4220,1644
5280,3715,184
5460,2115,0
4490,2195,778
4575,2760,915
3685,2770,876
4940,2560,1880
4985,2595,2067
3645,2145,15283
4535,2135,3814
2755,2155,5818
3040,3615,73
3765,2700,398
5235,3955,39
4295,3345,962
5420,1825,132
5060,3260,6153
4195,2665,22849
4250,3200,2727
3660,2595,403
3735,3055,571
5520,2505,162
3740,2525,612
5510,2845,1000
3135,1630,749
5265,4585,18
4200,3025,1761
5340,1895,1335
4150,2630,306
2785,1800,4
2715,1975,971
2715,1865,2
3170,1730,27
5145,2935,1822
3200,2365,9446
2790,2255,1842
3190,2260,118
5300,2050,36
3165,2260,77
4575,2650,0
4710,3875,40
4955,1965,405
4940,2670,2694
3800,2915,2116
5130,3640,56
4285,3685,5486
4130,2980,3191
3765,2810,305
3220,2125,15
4750,4165,2
5415,2465,1172
5185,3225,2289
2750,1965,201
5420,1935,155
5005,2520,98
4115,2530,247
5375,1730,146
4840,1990,13
3285,1705,4
4170,3270,430
4625,3045,2026
4630,2515,2022
4480,4635,15
4660,3145,1182
3600,2110,576
5035,3150,1138
5040,2620,137
3715,2525,423
4715,4065,349
4675,3330,436
4610,2865,16
5255,3715,504
3705,2425,647
5315,1895,488
3990,2290,810
5220,4660,24
4275,3585,413
3530,2170,129
5475,2300,202
4870,4830,26
3065,1690,11
4700,3775,17
4465,2195,84
5070,3250,1304
5115,4070,0
3115,1870,14796
5530,2605,2871
4920,5225,0
4135,3060,5414
5405,2365,594
4260,3300,4026
3625,2495,406
3625,2385,318
5015,2620,1713
5440,2465,12430
4195,2775,2943
3660,2485,2642
5335,4525,178
4275,2705,11726
3115,2085,4
4140,2530,69
4780,4690,7
5410,1835,482
3245,2300,66
3730,2975,608
3790,2810,1677
3790,2700,1089
3725,3065,7413
4305,4120,9
4145,3270,1771
4150,2740,911
4500,2200,152
4835,4730,34
4720,3425,340
5255,3605,363
3680,2245,1897
4545,2235,3867
3310,2930,437
5220,4550,27
4510,3180,1254
5350,1995,14
935,955,321
3695,2870,7065
4235,4180,0
4355,3625,0
4240,3650,662
4820,4545,18
5425,2015,982
5175,3675,300
5310,2040,0
4815,4970,23
4820,4105,582
3755,2600,2691
4470,4645,93
4225,3200,18423
3810,2905,960
5240,4310,317
5375,1620,400
3260,2200,37
3150,2185,195
4785,4000,2
4560,2135,308
5045,1925,53
2840,2435,14091
4675,3880,38
4545,5105,36
4560,2575,10709
4605,3395,20
4720,3975,1212
3775,2910,10317
5110,4095,10
4290,2605,1087
5470,2325,1120
5045,3250,862
5100,3115,1003
4210,3125,2291
5135,2835,493
5140,4070,41
3505,2170,260
5175,3125,495
4285,3135,41790
3180,2160,849
4345,3525,747
5190,3575,433
4285,2805,1455
5550,2920,512
5050,3050,2785
5840,2650,0
5225,3855,152
3650,2495,3473
3650,2385,683
4025,2390,162
4295,3785,698
5700,1455,37
4130,3195,13659
4250,3750,190
5410,1725,206
5100,3780,7
4160,2840,8907
4160,2730,965
1125,2525,355
