x,y
678.3199462890625,281.2300033569336
678.3199462890625,281.729248046875
678.3199462890625,282.2284927368164
678.3199462890625,282.7277374267578
678.3199462890625,283.2269821166992
678.3199462890625,283.7262268066406
678.3199462890625,284.22547149658203
678.3199462890625,284.72471618652344
678.3199462890625,285.2239532470703
678.3199462890625,285.72320556640625
678.3199462890625,286.2224426269531
678.3199462890625,286.72168731689453
678.3199462890625,287.22093200683594
678.3199462890625,287.72017669677734
678.3199462890625,288.21942138671875
678.3199462890625,288.71866607666016
678.3199462890625,289.21791076660156
678.3199462890625,289.71715545654297
678.3199462890625,290.2164001464844
678.3199462890625,290.7156448364258
678.3199462890625,291.2148895263672
678.3199462890625,291.7141342163086
678.3199462890625,292.21337890625
678.3199462890625,292.7126159667969
678.3199462890625,293.2118606567383
678.3199462890625,293.7111053466797
678.3199462890625,294.2103500366211
678.3199462890625,294.7095947265625
678.3199462890625,295.2088394165039
677.8419189453125,295.2300033569336
677.3426513671875,295.2300033569336
676.8433837890625,295.2300033569336
676.3441162109375,295.2300033569336
675.8448486328125,295.2300033569336
675.345703125,295.2300033569336
674.846435546875,295.2300033569336
674.34716796875,295.2300033569336
673.847900390625,295.2300033569336
673.3486938476562,295.2300033569336
672.8494262695312,295.2300033569336
672.3501586914062,295.2300033569336
671.8509521484375,295.2300033569336
671.3516845703125,295.2300033569336
670.8524169921875,295.2300033569336
670.3532104492188,295.2300033569336
669.8539428710938,295.2300033569336
669.354736328125,295.2300033569336
668.85546875,295.2300033569336
668.356201171875,295.2300033569336
667.8569946289062,295.2300033569336
667.3577270507812,295.2300033569336
667.1499633789062,295.52147674560547
667.1499633789062,296.0207214355469
667.1499633789062,296.51995849609375
667.1499633789062,297.0192108154297
667.1499633789062,297.51844787597656
667.1499633789062,298.01769256591797
667.1499633789062,298.5169372558594
667.1499633789062,299.0161819458008
667.1499633789062,299.5154266357422
667.1499633789062,300.0146713256836
667.1499633789062,300.513916015625
667.1499633789062,301.0131607055664
667.1499633789062,301.5124053955078
667.1499633789062,302.0116500854492
667.1499633789062,302.5108947753906
667.1499633789062,303.0101318359375
667.1499633789062,303.50938415527344
667.1499633789062,304.0086212158203
667.1499633789062,304.50787353515625
667.1499633789062,305.0071105957031
667.1499633789062,305.50636291503906
667.1499633789062,306.00559997558594
667.1499633789062,306.50484466552734
667.1499633789062,307.00408935546875
667.1499633789062,307.50333404541016
667.1499633789062,308.00257873535156
667.1499633789062,308.50182342529297
667.1499633789062,309.0010681152344
667.1499633789062,309.5003128051758
667.1499633789062,309.9995574951172
667.1499633789062,310.49879455566406
667.1499633789062,310.998046875
667.1499633789062,311.4972839355469
667.1499633789062,311.9965362548828
667.1499633789062,312.4957733154297
667.1499633789062,312.9950256347656
667.1499633789062,313.4942626953125
667.1499633789062,313.9935073852539
667.1499633789062,314.4927520751953
667.1499633789062,314.9919967651367
667.1499633789062,315.4912414550781
